Año,Mes,Marca,Modelo,Tipo,Segmento,Origen,PaisOrigen,Ventas
2005,Febrero,Volkswagen ,Crafter,Camiones_ligeros,Pick_Ups,Importado,Alemania,0
2005,Febrero,Volkswagen ,Crossfox,Automoviles,Subcompactos,Importado,Brasil,0
2005,Febrero,Volkswagen ,Derby,Automoviles,Subcompactos,Importado,Argentina,1005
2005,Febrero,Volkswagen ,EOS,Automoviles,De_Lujo,Importado,Alemania,0
2005,Febrero,Volkswagen ,Eurovan_Carga,Camiones_ligeros,SUVs,Importado,Alemania,217
2005,Febrero,Volkswagen ,Eurovan_Pasajeros,Camiones_ligeros,SUVs,Importado,Alemania,56
2005,Febrero,Volkswagen ,Gol,Automoviles,Subcompactos,Importado,Brasil,0
2005,Febrero,Volkswagen ,Gol_Sedan,Automoviles,Subcompactos,Importado,Brasil,0
2005,Febrero,Volkswagen ,Golf,Automoviles,Compactos,Importado,Brasil,196
2005,Febrero,Volkswagen ,Golf,Automoviles,Compactos,Nacional,Mexico,0
2005,Febrero,Volkswagen ,Golf_Gti,Automoviles,Deportivos,Importado,Alemania,14
2005,Febrero,Volkswagen ,Golf_Variant,Automoviles,Compactos,Nacional,Mexico,0
2005,Febrero,Volkswagen ,Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Febrero,Volkswagen ,Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Febrero,Volkswagen ,Jetta_4_PTAS,Automoviles,Compactos,Nacional,Mexico,2606
2005,Febrero,Volkswagen ,Lupo_2_Ptas,Automoviles,Subcompactos,Importado,Brasil,220
2005,Febrero,Volkswagen ,Lupo_4_Ptas,Automoviles,Subcompactos,Importado,Brasil,1232
2005,Febrero,Volkswagen ,Nuevo_Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Febrero,Volkswagen ,Nuevo_Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Febrero,Volkswagen ,Otros_Volkswagen,Camiones_ligeros,SUVs,Nacional,Mexico,0
2005,Febrero,Volkswagen ,Passat,Automoviles,De_Lujo,Importado,Estados_Unidos,69
2005,Febrero,Volkswagen ,Passat_Cc,Automoviles,De_Lujo,Importado,Estados_Unidos,0
2005,Febrero,Volkswagen ,Pointer_Pick_Up,Camiones_ligeros,Pick_Ups,Importado,Brasil,213
2005,Febrero,Volkswagen ,Pointer_Wagon,Automoviles,Compactos,Importado,Brasil,195
2005,Febrero,Volkswagen ,Pointer_2_Ptas,Automoviles,Subcompactos,Importado,Brasil,437
2005,Febrero,Volkswagen ,Pointer_4_Ptas,Automoviles,Subcompactos,Importado,Brasil,4479
2005,Febrero,Volkswagen ,Polo_GTI,Automoviles,Subcompactos,Importado,España,0
2005,Febrero,Volkswagen ,Polo_4_Ptas,Automoviles,Subcompactos,Importado,India,1003
2005,Febrero,Volkswagen ,Polo_5_Ptas,Automoviles,Subcompactos,Importado,Brasil,52
2005,Febrero,Volkswagen ,Routan,Camiones_ligeros,Minivans,Importado,Canada,0
2005,Febrero,Volkswagen ,Saveiro,Camiones_ligeros,Pick_Ups,Importado,Brasil,0
2005,Febrero,Volkswagen ,Sedan,Automoviles,Subcompactos,Nacional,Mexico,1
2005,Febrero,Volkswagen ,Sharan,Camiones_ligeros,Minivans,Importado,Portugal,99
2005,Febrero,Volkswagen ,Sport_Van,Automoviles,Compactos,Importado,Argentina,0
2005,Febrero,Volkswagen ,Sportwagen,Automoviles,Compactos,Nacional,Mexico,0
2005,Febrero,Volkswagen ,Tcross,Camiones_ligeros,SUVs,Importado,Brasil,0
2005,Febrero,Volkswagen ,Teramont,Camiones_ligeros,SUVs,Importado,Estados_Unidos,0
2005,Febrero,Volkswagen ,Tiguan,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Febrero,Volkswagen ,Tiguan,Camiones_ligeros,SUVs,Nacional,Mexico,0
2005,Febrero,Volkswagen ,Touareg,Camiones_ligeros,SUVs,Importado,Eslovaquia,74
2005,Febrero,Volkswagen ,Transporter_Carga,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Febrero,Volkswagen ,Transporter_Pasajeros,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Febrero,Volkswagen ,UP,Automoviles,Subcompactos,Importado,Brasil,0
2005,Febrero,Volkswagen ,Vento,Automoviles,Subcompactos,Importado,India,0
2005,Febrero,Volkswagen ,Virtus,Automoviles,Subcompactos,Importado,Brasil,0
2005,Febrero,Volkswagen ,Volkswagen_Caddy,Camiones_ligeros,Pick_Ups,Importado,Polonia,0
2005,Febrero,Volkswagen ,Vw_Van,Camiones_ligeros,Pick_Ups,Importado,Argentina,138
2005,Marzo,Volkswagen ,Amarok,Camiones_ligeros,Pick_Ups,Importado,Argentina,0
2005,Marzo,Volkswagen ,Beetle,Automoviles,Compactos,Nacional,Mexico,241
2005,Marzo,Volkswagen ,Beetle_Cabrio,Automoviles,Compactos,Nacional,Mexico,28
2005,Marzo,Volkswagen ,Bora,Automoviles,Compactos,Nacional,Mexico,1316
2005,Marzo,Volkswagen ,Bora_TDI,Automoviles,Compactos,Nacional,Mexico,0
